miclog2	drug	readingday	method	key_id
-4.05889368057251	rfb	14	vz	H37RV
-2	mxf	14	vz	H37RV
-6.05889368057251	bdq	14	vz	H37RV
-4.05889368057251	rif	14	vz	H37RV
1	kan	14	vz	H37RV
-3.32192802429199	inh	14	vz	H37RV
0	lzd	14	vz	H37RV
-4.05889368057251	cfz	14	vz	H37RV
-6.05889368057251	dlm	14	vz	H37RV
-3.05889368057251	cfz	14	vz	H37RV
-4.05889368057251	rfb	14	vz	H37RV
1	kan	14	vz	H37RV
0	emb	14	vz	H37RV
-5.05889368057251	dlm	14	vz	H37RV
-1	lev	14	vz	H37RV
-5.05889368057251	bdq	14	vz	H37RV
-2	pas	14	vz	H37RV
-1	lzd	14	vz	H37RV
-4.32192802429199	inh	14	vz	H37RV
-2	mxf	14	vz	H37RV
0	eth	14	vz	H37RV
-2	ami	14	vz	H37RV
-4.05889368057251	rif	14	vz	H37RV
-1	lzd	14	vz	H37RV
0	eth	14	vz	H37RV
-2	pas	14	vz	H37RV
1	kan	14	vz	H37RV
0	emb	14	vz	H37RV
-4.32192802429199	inh	14	vz	H37RV
-4.05889368057251	rif	14	vz	H37RV
-3.05889368057251	cfz	14	vz	H37RV
-5.05889368057251	dlm	14	vz	H37RV
-1	lev	14	vz	H37RV
-4.05889368057251	rfb	14	vz	H37RV
-2	ami	14	vz	H37RV
-5.05889368057251	bdq	14	vz	H37RV
-2	mxf	14	vz	H37RV
-2	ami	14	vz	H37RV
-4.32192802429199	inh	14	vz	H37RV
1	kan	14	vz	H37RV
0	lzd	14	vz	H37RV
-1	emb	14	vz	H37RV
0	eth	14	vz	H37RV
-2	mxf	14	vz	H37RV
-4.05889368057251	rif	14	vz	H37RV
-5.05889368057251	dlm	14	vz	H37RV
-4.05889368057251	rfb	14	vz	H37RV
-2	pas	14	vz	H37RV
-4.05889368057251	bdq	14	vz	H37RV
-2	lev	14	vz	H37RV
-3.05889368057251	cfz	14	vz	H37RV
-4.05889368057251	rfb	14	vz	H37RV
-2	ami	14	vz	H37RV
0	lzd	14	vz	H37RV
0	eth	14	vz	H37RV
-2	lev	14	vz	H37RV
-2	pas	14	vz	H37RV
-4.05889368057251	bdq	14	vz	H37RV
-3.05889368057251	cfz	14	vz	H37RV
-4.32192802429199	inh	14	vz	H37RV
-2	mxf	14	vz	H37RV
-5.05889368057251	dlm	14	vz	H37RV
1	kan	14	vz	H37RV
-1	emb	14	vz	H37RV
-4.05889368057251	rif	14	vz	H37RV
0	lzd	14	vz	H37RV
-4.05889368057251	bdq	14	vz	H37RV
1	kan	14	vz	H37RV
-1	pas	14	vz	H37RV
